RELA	GO:0000977
E2F6	GO:0000977
E4F1	GO:0000977
LHX3	GO:0000977
HIF3A	GO:0000977
NR3C1	GO:0000977
RUNX1	GO:0000977
RUNX3	GO:0000977
NR1D1	GO:0000977
RFX5	GO:0000977
ATF2	GO:0000977
TFAP2A	GO:0000977
TFAP2B	GO:0000977
CREM	GO:0000977
TFAP2C	GO:0000977
TFDP1	GO:0000977
TFDP2	GO:0000977
CRX	GO:0000977
ZNF10	GO:0000977
HINFP	GO:0000977
MSX1	GO:0000977
MSX2	GO:0000977
LHX1	GO:0000977
NCOR2	GO:0000977
ATF6	GO:0000977
PHOX2A	GO:0000977
EGR1	GO:0000977
NKX2-1	GO:0000977
ASCL1	GO:0000977
BARHL1	GO:0000977
RFXANK	GO:0000977
SNAI2	GO:0000977
NCOA1	GO:0000977
RORA	GO:0000977
ATF1	GO:0000977
ATF3	GO:0000977
ATF4	GO:0000977
NR5A1	GO:0000977
SNAI1	GO:0000977
CDC5L	GO:0000977
PBX1	GO:0000977
ENO1	GO:0000977
LEF1	GO:0000977
EP300	GO:0000977
EPAS1	GO:0000977
CUX1	GO:0000977
MXI1	GO:0000977
MAFG	GO:0000978
NRIP1	GO:0000978
NR2F6	GO:0000978
ERG	GO:0000978
ESR1	GO:0000978
ESR2	GO:0000978
ESRRA	GO:0000978
MAZ	GO:0000978
NANOG	GO:0000978
ESRRG	GO:0000978
ETS1	GO:0000978
ETS2	GO:0000978
ETV1	GO:0000978
ETV4	GO:0000978
ETV6	GO:0000978
JDP2	GO:0000978
MECOM	GO:0000978
KLF3	GO:0000978
IKZF1	GO:0000978
EZH2	GO:0000978
KCNIP3	GO:0000978
MEF2A	GO:0000978
MEF2C	GO:0000978
MEF2D	GO:0000978
RXRA	GO:0000978
RXRB	GO:0000978
MEIS2	GO:0000978
RXRG	GO:0000978
KLF2	GO:0000978
GFI1B	GO:0000978
IRF9	GO:0000978
SAFB	GO:0000978
SATB1	GO:0000978
YAP1	GO:0000978
MITF	GO:0000978
NLRC5	GO:0000978
HES6	GO:0000978
FOXO4	GO:0000978
NR3C2	GO:0000978
BATF3	GO:0000978
MNT	GO:0000978
FOXC1	GO:0000978
CREB3	GO:0000978
FOXI1	GO:0000978
FOXE3	GO:0000978
SOX6	GO:0000978
NCOA2	GO:0000978
FOXO1	GO:0000978
FOXO3	GO:0000978
FLI1	GO:0000978
KLF11	GO:0000978
TEAD2	GO:0000978
IKZF3	GO:0000978
BATF	GO:0000978
FOS	GO:0000978
FOSB	GO:0000978
FOSL2	GO:0000978
ZNF652	GO:0000978
ZBTB4	GO:0000978
GCM1	GO:0000978
HBP1	GO:0000978
APP	GO:0000978
SIX1	GO:0000978
SIX3	GO:0000978
SKI	GO:0000978
SKIL	GO:0000978
ZNF692	GO:0000978
AR	GO:0000978
MXD4	GO:0000978
ATF6	GO:0000978
ARNT	GO:0000978
DACH2	GO:0000978
KLF1	GO:0000978
KLF13	GO:0000978
MTF1	GO:0000978
CTCF	GO:0000978
ASCL1	GO:0000978
TP63	GO:0000978
ZKSCAN3	GO:0000978
NR5A2	GO:0000978
SNAI2	GO:0000978
ZFHX3	GO:0000978
FOXI2	GO:0000978
ATF1	GO:0000978
ATF3	GO:0000978
NR5A1	GO:0000978
ATF4	GO:0000978
ZNF420	GO:0000978
SNAI1	GO:0000978
ATOH1	GO:0000978
