GO-LABEL	PROTEIN	GO-LABEL-TYPE
GO:0000400	YY1	molecular_function
GO:0000400	HMGB1	molecular_function
GO:0000400	MSH6	molecular_function
GO:0000400	HMGB2	molecular_function
GO:0000400	HMGB3	molecular_function
GO:0000400	GEN1	molecular_function
GO:0000400	MSH2	molecular_function
GO:0000400	MEN1	molecular_function
GO:0000400	ABL1	molecular_function
GO:0000400	XRCC2	molecular_function
GO:0000400	XRCC3	molecular_function
GO:0000400	WRN	molecular_function
GO:0000774	PFN1	molecular_function
GO:0000774	BAG1	molecular_function
GO:0000774	BAG4	molecular_function
GO:0000774	GRPEL1	molecular_function
GO:0000774	SIL1	molecular_function
GO:0000774	HSPH1	molecular_function
GO:0000774	BAG5	molecular_function
GO:0000774	GRPEL2	molecular_function
GO:0000774	BAG3	molecular_function
GO:0000774	BAG2	molecular_function
GO:0000774	HYOU1	molecular_function
GO:0000774	HSPBP1	molecular_function
GO:0000976	SOX2	molecular_function
GO:0000976	SOX4	molecular_function
GO:0000976	SOX5	molecular_function
GO:0000976	SOX10	molecular_function
GO:0000976	SOX11	molecular_function
GO:0000976	SOX12	molecular_function
GO:0000976	SP1	molecular_function
GO:0000976	BNC2	molecular_function
GO:0000976	DHX36	molecular_function
GO:0000976	HHEX	molecular_function
GO:0000976	ERBB4	molecular_function
GO:0000976	CDX1	molecular_function
GO:0000976	FOXK2	molecular_function
GO:0000976	ZBTB20	molecular_function
GO:0000976	CEBPA	molecular_function
GO:0000976	ARID4B	molecular_function
GO:0000976	HDAC4	molecular_function
GO:0000976	ZBTB48	molecular_function
GO:0000976	ZNF658	molecular_function
GO:0000976	GABPB1	molecular_function
GO:0000976	ZNF174	molecular_function
GO:0000976	NANOG	molecular_function
GO:0000976	ZBED2	molecular_function
GO:0000976	GATA1	molecular_function
GO:0000976	GATA3	molecular_function
GO:0000976	GATA4	molecular_function
GO:0000976	GATA6	molecular_function
GO:0000976	PER1	molecular_function
GO:0000976	ETV5	molecular_function
GO:0000976	SOX18	molecular_function
GO:0000976	HMGB1	molecular_function
GO:0000976	IRF1	molecular_function
GO:0000976	HMGB2	molecular_function
GO:0000976	CHD3	molecular_function
GO:0000976	ZNF217	molecular_function
GO:0000976	ZBED6	molecular_function
GO:0000976	MESP1	molecular_function
GO:0000976	SMAD4	molecular_function
GO:0000976	BCOR	molecular_function
GO:0000976	FOXA1	molecular_function
GO:0000976	FOXA2	molecular_function
GO:0000976	FOXA3	molecular_function
GO:0000976	HNF4A	molecular_function
GO:0000976	KLF4	molecular_function
GO:0000976	GFI1	molecular_function
GO:0000976	DDIT3	molecular_function
GO:0000976	MEF2C	molecular_function
GO:0000976	RXRA	molecular_function
GO:0000976	ARID5A	molecular_function
GO:0000976	ZNF568	molecular_function
